point_idx,seed,lambda_rate,lambda_connectivity,mean_acc,min_task_acc,task_loss,metabolic_cost,wiring_cost,conn_frac,wiring_cost_w_in_l2,acc_fdgo,acc_fdanti,acc_dm1,acc_contextdm1,acc_dmsgo
20,0,1.8803015465431967,21.55824671778505,0.32999999999999996,0.19375,0.029703213907778265,0.0007697996764909476,0.0022689669858664274,0.0024203432258218527,0.014278344810009003,0.30625,0.19375,0.3203125,0.3203125,0.509375
20,1,1.8803015465431967,21.55824671778505,0.28156250000000005,0.1703125,0.029559729807078838,0.000804442772641778,0.003352717263624072,0.02369791641831398,0.014615891501307487,0.259375,0.1703125,0.2453125,0.24375,0.4890625
20,2,1.8803015465431967,21.55824671778505,0.34187500000000004,0.221875,0.029593972899019723,0.0007575165433809161,0.003132664831355214,0.021752450615167618,0.013482050970196724,0.371875,0.221875,0.371875,0.2671875,0.4765625
21,0,1.8803015465431967,60.0,0.36250000000000004,0.18125,0.029766659550368786,0.0007844838686287403,0.002089765388518572,0.0003676470660138875,0.014603779651224613,0.2984375,0.18125,0.31875,0.51875,0.4953125
21,1,1.8803015465431967,60.0,0.301875,0.221875,0.02968082379549742,0.0007828220934607089,0.0030739440117031336,0.01095281820744276,0.014969687908887863,0.24375,0.221875,0.2796875,0.259375,0.5046875
21,2,1.8803015465431967,60.0,0.37531250000000005,0.2109375,0.02960993222892284,0.000754436474526301,0.0027330515440553427,0.005897671449929476,0.013368598185479641,0.4625,0.2109375,0.4484375,0.275,0.4796875
22,0,5.000000000000001,1.0,0.32218749999999996,0.1640625,0.030319652557373046,0.00037856172770261764,0.009187954477965832,0.3285539150238037,0.013632110320031643,0.215625,0.1640625,0.309375,0.4140625,0.5078125
22,1,5.000000000000001,1.0,0.2890625,0.1796875,0.030065951906144618,0.00043327456223778426,0.012892928905785084,0.4309895932674408,0.012647557072341442,0.246875,0.1796875,0.2546875,0.2609375,0.503125
22,2,5.000000000000001,1.0,0.2771875,0.190625,0.03000043421983719,0.00040202779695391655,0.01402086392045021,0.4835784435272217,0.01198520790785551,0.23125,0.190625,0.228125,0.2375,0.4984375
23,0,5.000000000000001,2.7831576837137404,0.31125,0.1640625,0.030492240749299526,0.00035517146927304565,0.005694594234228134,0.15919117629528046,0.013199898414313793,0.2140625,0.1640625,0.2671875,0.4,0.5109375
23,1,5.000000000000001,2.7831576837137404,0.298125,0.2078125,0.030242529660463334,0.0004069296724628657,0.008259556256234646,0.26113665103912354,0.012283856980502605,0.2828125,0.2765625,0.2078125,0.2328125,0.490625
23,2,5.000000000000001,2.7831576837137404,0.303125,0.2015625,0.0301531582325697,0.0003732419922016561,0.009281924925744534,0.3125,0.011918284930288792,0.3359375,0.2015625,0.228125,0.246875,0.503125
24,0,5.000000000000001,7.745966692414834,0.2878125,0.1671875,0.030431545935571198,0.0003554106131196022,0.003572504734620452,0.053079042583703995,0.012709410861134529,0.2078125,0.1671875,0.284375,0.2765625,0.503125
24,1,5.000000000000001,7.745966692414834,0.291875,0.21875,0.030300063751637935,0.00038461047341115773,0.005356495268642902,0.1303921639919281,0.012346690520644188,0.21875,0.2375,0.246875,0.265625,0.490625
24,2,5.000000000000001,7.745966692414834,0.296875,0.221875,0.030228684842586517,0.00036226835276465864,0.005871204659342766,0.16222426295280457,0.011622673831880093,0.271875,0.221875,0.2609375,0.2328125,0.496875
25,0,5.000000000000001,21.55824671778505,0.2846875,0.1609375,0.030637730844318867,0.0003481184632983059,0.002579661551862955,0.011243872344493866,0.013191916048526764,0.21875,0.1609375,0.24375,0.29375,0.50625
25,1,5.000000000000001,21.55824671778505,0.2640625,0.203125,0.030572102032601835,0.0003565925249131396,0.0038781650364398956,0.0520833320915699,0.01239783689379692,0.2046875,0.21875,0.203125,0.2140625,0.4796875
25,2,5.000000000000001,21.55824671778505,0.344375,0.2109375,0.030144307352602477,0.0003710174653679132,0.003931741695851088,0.06205575913190842,0.011531729251146317,0.4,0.2109375,0.3546875,0.2796875,0.4765625
26,0,5.000000000000001,60.0,0.2571875,0.1578125,0.030634113326668745,0.0003406594350235537,0.0021920022554695606,0.0016544117825105786,0.013024706393480301,0.2125,0.1578125,0.2,0.209375,0.50625
